,CRICOS:,Melbourne_International_Start_Date,Duration:,Available to,International_Course_Cost,Duration,"
",Description,2020 Main Round ATAR/OP    ,CRICOS,"
    2020 Main Round ATAR/OP
    :
",2020 Main Round ATAR/OP,Course,Brisbane_International_Start_Date,North_Sydney_International_Start_Date,Website,Location,Location:,Domestic_Course_Price,Available to:,Study_Mode
,079451J,null,<strong>Minimum duration:</strong> Minimum duration: 3 years full-time or equivalent part-time.,Domestic and International students.,Unit Fee: $3042.00 (2021) Average first year fee: $24336.00 (2021) Estimated Total Cost: $73008.00 (2021),<span>3 years full-time or equivalent part-time.</span>,,"Public health is the science and art of preventing disease, prolonging life and promoting health by improving social and political systems. It includes environmental, economic, technical, educational and legislative measures. The Bachelor of Applied Public Health will give you the skills to improve population health, whether it’s to a handful of people or across several continents. You will learn how to: Graduates can enter a wide range of public health careers, such as: within a variety of organisations such as: The Bachelor of Applied Public Health will give you up to 300 hours of valuable professional placements, concentrated in the third year of the course. Some placements will be available during summer recess, and there are opportunities for interstate or international experience.",Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),079454F,Melbourne  (59.50),,Bachelor of Applied Public Health,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",null,https://courses.acu.edu.au/undergraduate/bachelor_of_applied_public_health,Brisbane  Melbourne  North Sydney,"


Melbourne  



","Average first year fee:
    $8455 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Domestic and International students.,Campus availability
,001300B,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",3 years full-time or equivalent part-time. 2.5 years full-time in accelerated mode. <br/> 3 years full-time or equivalent part-time. 2.5 years full-time in accelerated mode.,Domestic and International students.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $72312.00 (2021),<strong>Minimum duration:</strong> Minimum duration: 3 years full-time or equivalent part-time.,,"The Bachelor of Arts is designed to produce knowledgeable, articulate and innovative graduates recognised by their skills to think systematically and critically, gather and evaluate evidence from many and diverse sources, communicate clearly, and apply ethical principles to decision-making for a variety of professions and industries. The degree can also be taken as a pathway for students who wish to consider future study in teaching in secondary education. Students who successfully complete the first year of this degree may be eligible to apply for transfer into their chosen degree. Students who complete this course can progress to a postgraduate initial teacher education qualification. The three-year program offers specialisations and the choice of more than 20 majors and minors in the humanities, social sciences and visual arts to encourage students to design their own academic program to reflect their intellectual interests and career aspirations. An accelerated option is available for this course. By studying some units in summer and winter professional terms this course gives you the flexibility to accelerate and complete your degree in 2.5 years.",Melbourne  (59.50),079451J,Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),Bachelor of Arts,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022","22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",https://courses.acu.edu.au/undergraduate/bachelor_of_arts,Melbourne,"


Blacktown  


Brisbane  


Melbourne  


Strathfield  



","Average first year fee:
    $10593 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Domestic and International students.,Major and Minor sequences by campus
,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",3 years full-time or equivalent part-time.,Domestic and International students.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $72312.00 (2021),3 years full-time or equivalent part-time. 2.5 years full-time in accelerated mode. <br/> 3 years full-time or equivalent part-time. 2.5 years full-time in accelerated mode.,,"The Bachelor of Arts (Western Civilisation) provides students with a rigorous and stimulating intellectual program in which they engage with western philosophy, history, literature, politics, art and culture, and develop a deep understanding of the great works, ideas and movements within the western intellectual tradition in the core of the program. Students also take a major in one of Drama, English, History, Philosophy, Politics and International Relations, Psychology, Sociology, Theological Studies, or Visual Arts. The degree fosters skills that prepare students for leadership roles in the private and public sectors including government, business, social enterprise and the Arts. Offers will be made to applicants based on high ATAR results and will also be assessed against other criteria, namely “Ramsay Attributes” (i.e. potential to make a positive contribution in Australia and the world as demonstrated through resume, references and a personal statement). ACU is offering 30 scholarships to students undertaking this degree, funded by the Ramsay Centre, each valued at up to $90,000 ($30,000 per year of the degree). Students eligible for scholarship will be selected by a committee, comprising senior ACU and Ramsay Centre staff. Applicants who wish to be considered for a scholarship, will need to meet the essential requirements for admission to the BAWC: The Applicant Resume Form and essay response should be uploaded as a part of the application to study. Scholarship applicants will also:",Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),001300B,,Melbourne  (59.50),Bachelor of Arts (Western Civilisation),"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022","22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",https://courses.acu.edu.au/undergraduate/bachelor_of_arts_western_civilisation,Blacktown  Brisbane  Melbourne  Strathfield,"


North Sydney  



","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Domestic students only.,Campus availability
,084789G,"22-Feb-2021, 21-Feb-2022",<strong>Minimum duration:</strong> Minimum duration: 3 years full-time or equivalent part-time,Domestic students only.,Unit Fee: $3042.00 (2021) Average first year fee: $24336.00 (2021) Estimated Total Cost: $73008.00 (2021),3 years full-time or equivalent part-time.,,"The Bachelor of Biomedical Science is a professional degree in a discipline at the forefront of research into human health, disease and drug development. Bachelor of Biomedical Science graduates need to demonstrate a well-developed understanding of the biomedical science sub-disciplines to enable them to undertake values driven problem solving. Application of their knowledge, understanding and skills to local and global issues must attend to both First Peoples and Western perspectives, and these aspects are embedded within specified biomedical science units in all years. Employers are seeking students with recognised transferable skills (e.g. team work, communication skills, problem-solving ability, and care for others) and the Biomedical Science degree at ACU integrates development of these skills into its units, driving the development of graduates with a high emotional intelligence, adaptability and resilience. Overall, the Bachelor of Biomedical Science aims to prepare ethical graduates with a concern for the common good, who are able to apply a broad and coherent body of knowledge to undertake professional work in a range of biomedical science contexts and as a basis for life-long learning. These graduates will often collaborate within health care teams to create novel solutions to global and national health challenges. Students undertake specified units in years 1 and 2 of the degree, year 3 of the program provides some flexibility in terms of industry based placements and elective units.",,001300B,Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Bachelor of Biomedical Science,"22-Feb-2021, 21-Feb-2022","22-Feb-2021, 21-Feb-2022",https://courses.acu.edu.au/undergraduate/bachelor_of_biomedical_science,North Sydney,"


Brisbane  


Melbourne  


North Sydney  



","Average first year fee:
    $9520 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Domestic and International students.,Campus availability
,073336E,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",<span>3 years full-time or equivalent part-time.</span>,Domestic and International students.,Unit Fee: $3635.00 (2021) Average first year fee: $29080.00 (2021) Estimated Total Cost: $87240.00 (2021),<strong>Minimum duration:</strong> Minimum duration: 3 years full-time or equivalent part-time,,"Choose our Bachelor of Business Administration and you’ll learn what it takes to lead, innovate and problem-solve in fast-changing business environments. Gain a broad understanding of the fundamentals of business by starting off with four key foundation units (managing money, people, markets and working with IT) whilst honing your communication skills so vital in today’s global environment. As a ‘generalist’ degree, you will be free to choose any business subject we offer rather than specialise. You’ll have the language set and decision-making skills needed to excel in a range of business areas, including marketing, strategy, community engagement, organisational management, technology, finance, human resources, sustainability, and business operations. Study business administration and prepare for a rewarding future in commerce, government or the not-for-profit sector, or add business administration as a double degree to compliment your career path in areas such as law, nutrition, nursing and global studies.",Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),084789G,Brisbane  (17/65) Melbourne  (58.50) Blacktown  (58.50) North Sydney  (58.50) Strathfield  (58.50),Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Bachelor of Business Administration,"22-Feb-2021, 26-Jul-2021 , 21-Feb-2022 , 18-Jul-2022 ","22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",https://courses.acu.edu.au/undergraduate/bachelor_of_business_administration,Brisbane  Melbourne  North Sydney,"


Blacktown  


Brisbane  


Melbourne  


North Sydney  


Strathfield  



","Average first year fee:
    $10389 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Domestic and International students.,Campus availability
,068238E,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",3 years full-time or equivalent part-time.,Domestic and International students.,Unit Fee: $3635.00 (2021) Average first year fee: $29080.00 (2021) Estimated Total Cost: $87240.00 (2021),<span>3 years full-time or equivalent part-time.</span>,,"Create your own unique career path whilst honing your communication skills as part of your commerce specialisations. We start with four key foundation units (managing money, people, markets and working with IT) which prepare you for whatever area of business you wish to pursue. Study commerce and you can tailor your degree to open up career opportunities in accounting and finance to marketing, event management, informatics and human resources. Other specialisations include data analytics, entrepreneurship, IT, Indigenous business studies, international business, informatics, and occupational health, safety and environment. Boost your credentials Our commerce specialisations come with a range of relevant credentials, such as the prestigious EPAS international accreditation from the European Foundation for Management Development. If you graduate with an accounting major and minor, you’ll be eligible for membership with CPA Australia, Chartered Accountants Australia and New Zealand, and the Institute of Public Accountants. Choose human resource management and you can become a member of the Australian Human Resources Institute. Marketing graduates, meanwhile, can join the Australian Marketing Institute.",Brisbane  (17/65) Melbourne  (58.50) Blacktown  (58.50) North Sydney  (58.50) Strathfield  (58.50),073336E,Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50) Strathfield  (58.50),Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),Bachelor of Commerce,"22-Feb-2021, 26-Jul-2021 , 21-Feb-2022 , 18-Jul-2022 ","22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",https://courses.acu.edu.au/undergraduate/bachelor_of_commerce,Blacktown  Brisbane  Melbourne  North Sydney  Strathfield,"


Blacktown  


Brisbane  


Melbourne  


North Sydney  


Strathfield  



","Average first year fee:
    $9981 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Domestic and International students.,Campus availability
,084346A,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",3 years full time or equivalent part time.,Domestic and International students.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $72312.00 (2021),3 years full-time or equivalent part-time.,,"The Bachelor of Creative Arts prepares students to fill key creative roles in industries such as the performing arts, communication, music, and new media, drama, visual arts and related fields of education. Students complete major studies in drama, english, media (Melb), music, or the visual arts and may choose a minor study in communication, creative writing, or in graphic design (Melb only). The Arts Advantage and Community Engagement units are also completed. Students are encouraged to actively engage with the community through the creative arts so that they enter the workforce with documented experience and evidence of their creative capabilities and achievements.",Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50) Strathfield  (58.50),068238E,Brisbane  (17/65) Melbourne  (58.50),Brisbane  (17/65) Melbourne  (58.50) Blacktown  (58.50) North Sydney  (58.50) Strathfield  (58.50),Bachelor of Creative Arts,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",null,https://courses.acu.edu.au/undergraduate/bachelor_of_creative_arts,Blacktown  Brisbane  Melbourne  North Sydney  Strathfield,"


Brisbane  


Melbourne  



","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Domestic and International students.,Campus availability
,083213M,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",4 years full-time or equivalent part-time,Domestic and International students.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $96416.00 (2021),3 years full time or equivalent part time.,,"The Bachelor of Early Childhood Education (Birth to Five Years) is aimed at those students dedicated to a career teaching in a birth to five setting. Developed in response to workforce needs in the early childhood sector, the course can be undertaken as a natural progression for graduates of the Diploma of Early Childhood Education and Care/Diploma of Children’s Services or as a standalone course. Graduates of the course will have a strong grounding in early childhood curriculum and pedagogy. We also recognise that an early childhood educator is likely to teach a diverse range of students across the course of their career. Our students will be equipped with the knowledge and skills to respond to this diversity. Units cover a range of issues including: This course is ideal for those who see themselves as future leaders in the field. Built into the course are a number of units focusing on the individual’s development as a teaching professional including: Upon completion of the Bachelor of Early Childhood Education (Birth to Five Years) students are eligible to seek accreditation as four-year trained early childhood teachers in early childhood settings. See ACECQA approved qualifications.",Brisbane  (17/65) Melbourne  (58.50),084346A,Brisbane  (17/65) Melbourne  (60.00) Online  (17/65) QTAC Online  (60.00) UAC Online  (60.00) VTAC Strathfield  (60.00),Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50) Strathfield  (58.50),Bachelor of Early Childhood Education (Birth to Five Years),"22-Feb-2021, 21-Feb-2022","22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",https://courses.acu.edu.au/undergraduate/bachelor_of_early_childhood_education_birth_to_five_years,Brisbane  Melbourne,"


Brisbane  


Melbourne  


Online  


Strathfield  



","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Domestic and International students.,Campus availability
,063890F,"22-Feb-2021, 21-Feb-2022 ",4 years full-time or equivalent part-time.,Domestic and International students.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $96416.00 (2021),4 years full-time or equivalent part-time,,"Our teaching courses give you the tools to be that teacher that students remember and, just as importantly, mentor and lead the next generation. You’ll get to teach in schools and educational settings at different stages of your course ensuring your practical experience evolves alongside your theoretical knowledge in Education. Our Bachelor of Education programs are flexible. With a common first year across our courses, you have the choice in your second year of study to either remain in your specialisation or to pick a different one if your teaching passion lies elsewhere. Our courses cover school and educational settings and specialist teacher roles in: The Bachelor of Education also expands the options for double degree programs by enabling Secondary specialisations to be paired with other degree programs such as: All our teaching courses allow you to teach in government, independent, and Catholic and other faith-based schools. As an early childhood and primary teacher, you will inspire and help children develop critical lifelong skills. Qualified to teach from birth to Year 6, you’ll engage them through key curriculum areas such as the Arts, English, maths and science and technologies. You will also gain the practical skills to manage social, cultural and developmental diversity. You can even be able to teach a language, (Italian or Spanish). By selecting religious education and/or theology units, you will be eligible to teach in Catholic and other faith-based schools. As part of this course you will undertake a minimum of 100 days of professional experience in both prior to school and primary school settings.",Brisbane  (17/65) Melbourne  (60.00) Online  (17/65) QTAC Online  (60.00) UAC Online  (60.00) VTAC Strathfield  (60.00),083213M,Ballarat  (70.00) Ballarat  (70.00) Brisbane  (17/65) Canberra  (60.00) North Sydney  (60.00) Strathfield  (60.00),Brisbane  (17/65) Melbourne  (58.50),Bachelor of Education (Early Childhood and Primary),"22-Feb-2021, 21-Feb-2022 ","22-Feb-2021, 21-Feb-2022",https://courses.acu.edu.au/undergraduate/bachelor_of_education_early_childhood_and_primary,Brisbane  Melbourne  Online  Strathfield,"


Ballarat  


Blacktown  


Brisbane  


Canberra  


Melbourne  


North Sydney  


Strathfield  



",Average first year fee:    $6680 Commonwealth Supported     (indicative only; subject to passage of legislation),Domestic and International students.,Campus availability
,0102075,22-Feb-2021,4 years full-time or equivalent part-time.,Domestic and International students.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $96416.00 (2021),4 years full-time or equivalent part-time.,ATAR/OP not available for new courses.,"As a primary and secondary teacher, you will be able to inspire, nurture and develop expertise in young people. Qualified to teach across the schooling year levels from foundation year to Year 12, this course gives you the flexibility of multiple career options. You will develop knowledge and skills in primary curriculum areas including English, mathematics, the Arts, , health and physical education and social science and technologies. For your secondary teaching discipline, you have the option to choose from a broader range of teaching areas. By selecting Religious Education units and/or a Theology sequence, you will be eligible to teach in Catholic and other faith-based schools.. As part of this course you will undertake a minimum of 80 days of professional experience in primary and secondary school settings Entry to this course is governed by the Admission to Coursework Programs Policy. The selection of course entrants is based on academic merit and satisfaction of non-academic capabilities for entry to initial teacher education. In accordance with the mission of ACU, the Faculty of Education and Arts is committed to providing access to education for a diversity of students. For applicants who are not Year 12 students, the assessment may include year 12 or other studies undertaken to allocate an equivalent ranking. Additionally, ACU provides a range of access and equity schemes which consider additional or alternative factors in assessing applicants, including applicants of Aboriginal or Torres Strait Islander descent. ACU also offers approved, alternative entry pathway programs for domestic and international students.",Ballarat  (70.00) Ballarat  (70.00) Brisbane  (17/65) Canberra  (60.00) North Sydney  (60.00) Strathfield  (60.00),063890F,,Brisbane  (17/65) Melbourne  (60.00) Online  (17/65) QTAC Online  (60.00) UAC Online  (60.00) VTAC Strathfield  (60.00),Bachelor of Education (Primary and Secondary),"22-Feb-2021, 26-Jul-2021","22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",https://courses.acu.edu.au/undergraduate/bachelor_of_education_primary_and_secondary,Ballarat  Blacktown  Brisbane  Canberra  Melbourne  North Sydney  Strathfield,"


Brisbane  


Canberra  


Melbourne  


Strathfield  



","Average first year fee:
    $7239 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Domestic and International students.,Campus availability
